listing_id,review_count,average_sentiment_score,positive_reviews,negative_reviews,neutral_reviews,positive_review_share,negative_review_share,neighbourhood_cleansed,room_type,review_scores_rating,availability_365,occupancy_rate_estimate
10803,196,2.0969387755102042,168,3,25,0.8571428571428571,0.015306122448979591,Moreland,Private Room,4.57,83,0.7726
12936,42,1.6666666666666667,36,0,6,0.8571428571428571,0.0,Port Phillip,Entire Home/Apt,4.68,0,1.0
41836,137,2.0437956204379564,117,1,19,0.8540145985401459,0.0072992700729927005,Darebin,Private Room,4.71,0,1.0
43429,266,2.481203007518797,243,0,23,0.9135338345864662,0.0,Monash,Entire Home/Apt,4.88,266,0.2712
44699,64,2.40625,56,1,7,0.875,0.015625,Port Phillip,Private Room,4.78,159,0.5644
47100,180,2.9277777777777776,168,2,10,0.9333333333333333,0.011111111111111112,Yarra,Entire Home/Apt,4.88,0,1.0
51592,503,1.874751491053678,420,5,78,0.8349900596421471,0.009940357852882704,Melbourne,Entire Home/Apt,4.9,121,0.6685
66754,68,2.2794117647058822,62,1,5,0.9117647058823529,0.014705882352941176,Yarra,Entire Home/Apt,4.61,0,1.0
67211,267,2.707865168539326,244,1,22,0.9138576779026217,0.003745318352059925,Boroondara,Private Room,4.85,329,0.0986
74324,91,2.5164835164835164,89,0,2,0.978021978021978,0.0,Yarra,Entire Home/Apt,4.86,186,0.4904
80986,79,2.3037974683544302,73,1,5,0.9240506329113924,0.012658227848101266,Yarra,Entire Home/Apt,4.43,0,1.0
86369,13,3.4615384615384617,12,0,1,0.9230769230769231,0.0,Glen Eira,Entire Home/Apt,5.0,101,0.7233
103952,18,2.611111111111111,17,0,1,0.9444444444444444,0.0,Port Phillip,Entire Home/Apt,4.94,179,0.5096
108032,305,2.3836065573770493,282,1,22,0.9245901639344263,0.003278688524590164,Melbourne,Entire Home/Apt,4.9,117,0.6795
120487,108,2.740740740740741,94,1,13,0.8703703703703703,0.009259259259259259,Kingston,Entire Home/Apt,4.85,322,0.1178
133617,42,2.2142857142857144,34,0,8,0.8095238095238095,0.0,Port Phillip,Private Room,4.84,172,0.5288
161033,342,2.301169590643275,314,2,26,0.9181286549707602,0.005847953216374269,Yarra Ranges,Entire Home/Apt,4.8,148,0.5945
163077,59,2.135593220338983,51,1,7,0.864406779661017,0.01694915254237288,Port Phillip,Entire Home/Apt,4.68,0,1.0
173426,22,2.909090909090909,20,0,2,0.9090909090909091,0.0,Darebin,Private Room,4.95,0,1.0
189293,1,3.0,1,0,0,1.0,0.0,Darebin,Private Room,5.0,0,1.0
210568,24,2.4166666666666665,21,0,3,0.875,0.0,Glen Eira,Private Room,4.79,14,0.9616
229430,23,4.0,23,0,0,1.0,0.0,Boroondara,Private Room,4.86,0,1.0
232812,7,3.0,5,0,2,0.7142857142857143,0.0,Melbourne,Entire Home/Apt,4.17,0,1.0
235701,109,2.458715596330275,101,0,8,0.926605504587156,0.0,Port Phillip,Entire Home/Apt,4.88,3,0.9918
240410,160,2.525,150,1,9,0.9375,0.00625,Melbourne,Entire Home/Apt,4.84,53,0.8548
244952,398,2.5954773869346734,374,2,22,0.9396984924623115,0.005025125628140704,Yarra,Entire Home/Apt,4.71,253,0.3068
247140,141,2.574468085106383,128,0,13,0.9078014184397163,0.0,Melbourne,Entire Home/Apt,4.87,0,1.0
248235,24,2.8333333333333335,23,0,1,0.9583333333333334,0.0,Glen Eira,Entire Home/Apt,4.83,52,0.8575
251354,10,2.7,10,0,0,1.0,0.0,Stonnington,Entire Home/Apt,4.9,269,0.263
256186,245,2.63265306122449,234,0,11,0.9551020408163265,0.0,Yarra,Entire Home/Apt,4.75,134,0.6329
263871,53,2.6226415094339623,49,1,3,0.9245283018867925,0.018867924528301886,Melbourne,Entire Home/Apt,4.92,68,0.8137
268525,1,1.0,1,0,0,1.0,0.0,Whitehorse,Private Room,5.0,186,0.4904
268849,810,2.228395061728395,746,2,62,0.9209876543209876,0.0024691358024691358,Stonnington,Entire Home/Apt,4.85,106,0.7096
280698,59,2.5254237288135593,55,0,4,0.9322033898305084,0.0,Port Phillip,Entire Home/Apt,4.77,0,1.0
284210,33,2.878787878787879,31,0,2,0.9393939393939394,0.0,Yarra,Entire Home/Apt,4.85,0,1.0
297350,310,2.170967741935484,271,3,36,0.8741935483870967,0.00967741935483871,Brimbank,Private Room,4.77,364,0.0027
313648,61,3.3934426229508197,58,1,2,0.9508196721311475,0.01639344262295082,Melbourne,Entire Home/Apt,4.7,0,1.0
315513,109,2.055045871559633,93,1,15,0.8532110091743119,0.009174311926605505,Brimbank,Private Room,4.82,364,0.0027
317239,16,3.3125,16,0,0,1.0,0.0,Hobsons Bay,Private Room,4.81,364,0.0027
381690,53,2.4716981132075473,47,0,6,0.8867924528301887,0.0,Port Phillip,Entire Home/Apt,4.56,161,0.5589
