neighbourhood_cleansed,listing_count,total_reviews,average_sentiment_score,average_positive_review_share,average_negative_review_share
Melbourne,6738,361001,2.0001516353108513,0.8633391596290764,0.023523639394134387
Yarra Ranges,1018,88961,2.2571047039271184,0.9115987003902221,0.008113066506623157
Port Phillip,2126,88211,2.2888156298897346,0.894004307775769,0.011901443722229439
Yarra,1545,78194,2.3786571216626817,0.9078160892283271,0.011436355555229318
Stonnington,1092,42282,2.3060788117324025,0.8969071823509663,0.011378444140784582
Moreland,780,27466,2.2381443900059907,0.8849423931632182,0.014925535086040146
Maribyrnong,525,19502,2.1254096845996284,0.8625203293040454,0.015508218541900844
Darebin,460,15669,2.411774971803806,0.8997203912690347,0.01308328781993135
Boroondara,440,13758,2.28740545315154,0.8781418015878153,0.00824761421248566
Monash,449,12583,1.9706446903954253,0.8614857377980534,0.014722596627368622
Wyndham,550,12432,1.9793735042156442,0.8601286554340624,0.02256994051411864
Hume,268,12252,1.99710132559997,0.8576144764706924,0.015962374495784422
Glen Eira,399,11368,2.252487191231849,0.8900697914610014,0.009281670317224251
Frankston,231,10969,2.1976720283811155,0.8880916543193631,0.010482721366667924
Whitehorse,502,10399,1.9782671088424537,0.8492303341314631,0.023022756325218975
Moonee Valley,312,10057,2.1414427771310756,0.8638171801799714,0.025726613858949417
Cardinia,171,9428,2.185959867900678,0.8983493465133034,0.008621118650397558
Hobsons Bay,246,9355,2.229866423008975,0.8885015895852194,0.010479619981841985
Bayside,330,9114,2.3228536835483777,0.902937889397554,0.009765788722217296
Kingston,284,8950,2.152458038641047,0.886866554956517,0.01206132262372608
Brimbank,272,8085,1.7283354978538346,0.8216863389980982,0.027742517318911242
Nillumbik,101,7381,2.248719725020199,0.8947322656274732,0.011147062042168325
Manningham,190,6130,2.076125246891474,0.8743212514525618,0.01752409527144128
Casey,257,5644,1.958094597631867,0.846938163223403,0.022109889805075375
Knox,146,5480,2.0756883137873667,0.8588888310673456,0.014534137840968964
Banyule,168,5313,2.3162977727696075,0.8899615919874151,0.015626348278630884
Melton,193,4096,2.0711153904643544,0.859473624881088,0.01802690446655948
Maroondah,110,3526,1.974911346360581,0.8738388700105605,0.02355970508641918
Greater Dandenong,142,3110,1.7627014076328669,0.8016358843013789,0.03210513657685225
Whittlesea,148,2685,1.9838922649662742,0.8501826377578615,0.015008854138690632
