term,average_tfidf_score
great,0.13879143484433487
stay,0.12231197983388621
place,0.11327402736124405
location,0.09885926270724911
apartment,0.08148707870611353
clean,0.07445595736088223
host,0.06433217796705704
good,0.05447129339853378
nice,0.05326489170517681
comfortable,0.05289510933375396
lovely,0.052874941884490004
recommend,0.0519159400710009
great location,0.05165522144125049
easy,0.05025675371466362
perfect,0.04886354604504497
melbourne,0.04784084719898598
close,0.04764426217173679
beautiful,0.045581797083362074
amazing,0.04251457863043362
definitely,0.04250925187589636
really,0.03926164088505861
house,0.03857842323347851
home,0.03762544035670305
highly,0.03715573541275953
city,0.03538343616106676
helpful,0.03435719975816509
check,0.03319089594807612
time,0.031809820361038965
place stay,0.031252185816817976
friendly,0.030783637261992118
