dataset,filename,row_count,column_count,column_name,data_type,null_count,null_percentage,unique_count,sample_values
listings,listings.csv.gz,24491,79,id,int64,0,0.0,24491,10803 | 12936 | 41836
listings,listings.csv.gz,24491,79,listing_url,str,0,0.0,24491,https://www.airbnb.com/rooms/10803 | https://www.airbnb.com/rooms/12936 | https://www.airbnb.com/rooms/41836
listings,listings.csv.gz,24491,79,scrape_id,int64,0,0.0,1,20250912034451 | 20250912034451 | 20250912034451
listings,listings.csv.gz,24491,79,last_scraped,str,0,0.0,1,2025-09-12 | 2025-09-12 | 2025-09-12
listings,listings.csv.gz,24491,79,source,str,0,0.0,1,previous scrape | previous scrape | previous scrape
listings,listings.csv.gz,24491,79,name,str,0,0.0,23884,"Room in Deco Apartment, Brunswick East | St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC | CLOSE TO CITY & MELBOURNE AIRPORT"
listings,listings.csv.gz,24491,79,description,str,509,2.08,21506,"A large air conditioned room with firm queen spring mattress bed in a vintage apartment. Located right outside is a tram to the city just 20 minutes away. This area is known for its arts culture, live music, cafes and international food. | RIGHT IN THE HEART OF ST KILDA! It doesn't get more central than this! A fabulous north facing balcony apartment that offers right in the heart of the action location, yet a quiet spot with balcony views and only minutes to cafes, restaurants, shopping, grocery stores, supermarkets, St Kilda Beach, Albert Park Lake, home of the Grand Prix and trams into Melbourne City Centre right on your doorstep. The perfect base for your Melbourne adventure! | Easy to travel from and to the Airport; quiet and safe neighbourhood; a spacious and sunny room; backyard for sun baking; a friendly host who are easy going and super friendly!<br />I would like to make your journey more comfortable!"
listings,listings.csv.gz,24491,79,neighborhood_overview,str,13031,53.21,9367,"This hip area is a crossroads between two great cultural strips of inner Northern Melbourne. <br />Located in East Brunswick, between High St, Northcote and Lygon St Brunswick you have the choice of some of Melbourne's best budget dining and cool bars. Restaurants range from cheap eateries to quality Lebanese and Turkish with Indian, Greek, Italian and Thai places. Around the corner Ceres Environmental Centre is set on reclaimed parkland next to Merri creek and it's convenient bike paths. Ceres has a daily organic foods market and two cafes with outdoor and indoor dining. They also have a bike shed where you can buy a second hand bike cheap - or take your own to work on. There are three coffee places within 50metres, and the Lomond Hotel Pub right across the road has good live music. | A stay at our apartment means you can enjoy some of Melbourne’s best restaurants, bars, cafes, shopping, dining and night life, all at your doorstep.<br />St Kilda beach, Luna Park and the Esplanade Sunday Market are also close by.<br />Spoil yourself at the St Kilda Sea Baths spa during your stay. A 10 minute walk takes you to Albert Park Lake, home of the Melbourne Grand Prix. Here you will find restaurants and cafes that overlook the lake with the city skyline as a stunning backdrop. Our apartment is perfectly suited to those wanting an exclusive, authentic urban residential experience. | The neighbours are quiet and friendly,  please don't park the car on my driveway because one of our neighbours is doing shifting work as a nurse. There are plenty of space for parking in the guest parking bay and along the street for free."
listings,listings.csv.gz,24491,79,picture_url,str,1,0.0,23998,https://a0.muscache.com/pictures/e5f30dd1-ac57-4699-bf9d-f799f32b2a19.jpg | https://a0.muscache.com/pictures/59701/2e8cdaf3_original.jpg | https://a0.muscache.com/pictures/569696dd-1ad0-4646-bd87-30aa4cc4d2c0.jpg
listings,listings.csv.gz,24491,79,host_id,int64,0,0.0,13860,38901 | 50121 | 182833
