host_id,host_name,listing_count,average_price,total_estimated_revenue
90729398,Flexistayz,292,,0.0
279001183,MadeComfy,196,,0.0
343442154,Advante Homes,143,,0.0
446080599,Bedspoke,116,,0.0
38814953,Maddy,98,,0.0
392306676,Rodelia,98,,0.0
1739996,Paul & Dan,94,,0.0
244502930,Zhi Wu,94,,0.0
22860147,Adji,85,,0.0
34247003,Juliet,79,,0.0
239827525,AirKeeper,76,,0.0
68810966,Zhi Wu,74,,0.0
461853213,Eduardo,70,,0.0
556374414,Wooi,69,,0.0
10190138,Tony,68,,0.0
477181521,Sam,58,,0.0
412803321,Rui,54,,0.0
45356831,Domi,53,,0.0
9510598,Alix And Taj,52,,0.0
17634490,Kim,51,,0.0
