neighbourhood_cleansed,listing_count,average_availability_365,average_number_of_reviews,average_review_score
Melbourne,7832,140.11963738508683,49.13981103166496,4.665213864306785
Port Phillip,2687,127.79493859322665,33.569036099739485,4.790529026217229
Yarra,1771,112.48277809147375,44.825522303783174,4.811338073691015
Stonnington,1380,123.04057971014493,31.370289855072464,4.780182815356491
Yarra Ranges,1092,226.9386446886447,82.29212454212454,4.848567222767419
Moreland,946,114.89323467230444,29.790697674418606,4.755273885350318
Wyndham,737,203.6729986431479,18.00135685210312,4.715637342908439
Whitehorse,624,158.19070512820514,18.759615384615383,4.6653529411764705
Maribyrnong,622,152.65755627009645,32.68971061093247,4.758200757575757
Boroondara,593,134.5345699831366,24.256323777403036,4.740067720090293
