id,name,host_id,host_name,neighbourhood_cleansed,room_type,availability_365,occupancy_rate_estimate,number_of_reviews,reviews_per_month,review_scores_rating,host_tenure_years,segment_id
10803,"Room in Deco Apartment, Brunswick East",38901,Lindsay,Moreland,Private Room,83,0.7726,204,1.32,4.57,16.76,0
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,Port Phillip,Entire Home/Apt,0,1.0,42,0.23,4.68,16.64,0
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,Darebin,Private Room,0,1.0,157,0.87,4.71,15.9,0
43429,Tranquil Javanese Studio and Pond!,189684,Allan,Monash,Entire Home/Apt,266,0.2712,272,1.51,4.88,15.88,2
44699,"15 years Hosting (4.8), 8 CITY TRAMS,GymPoolTennis",189245,Christine,Port Phillip,Private Room,159,0.5644,66,0.36,4.78,15.89,0
47100,"Cosy, cute comfortable little home in top location",212071,Loren,Yarra,Entire Home/Apt,0,1.0,180,0.98,4.88,15.82,0
51592,Central City Warehouse Apartment,190879,Michelle,Melbourne,Entire Home/Apt,121,0.6685,504,2.84,4.9,15.88,2
985656,Amazing Malvern,1038237,Ian,Glen Eira,Private Room,68,0.8137,24,0.17,4.67,14.81,0
986403,beach boulevard city skyline,3004635,Dorothy,Port Phillip,Private Room,223,0.389,174,1.15,4.94,13.92,2
990795,19th Century Terrace with Ensuites,5441565,IanJ,Melbourne,Private Room,362,0.0082,41,0.28,4.93,13.27,1
995402,A whole Apt in heart of St Kilda,5140385,Lisa,Port Phillip,Entire Home/Apt,196,0.463,61,0.41,4.66,13.33,1
1054730,Regina’s Cottage - 20 min walk to Brighton beach,5808523,Sally,Bayside,Private Room,361,0.011,12,0.09,5.0,13.2,1
1057401,Modern Bayside Studio Apartment,5824112,Fiona,Kingston,Entire Home/Apt,251,0.3123,88,0.6,4.76,13.2,1
1061196,Beautiful Fitzroy Getaway,1701103,Joanne,Yarra,Entire Home/Apt,287,0.2137,133,0.89,4.92,14.37,1
1061439,Queen room w/private shower 10minsCBD tram@door,5843865,Dianne,Melbourne,Private Room,151,0.5863,89,0.59,4.77,13.2,0
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,Yarra,Entire Home/Apt,0,1.0,70,0.4,4.61,16.64,0
67211,"Kew Tranquility, Melbourne",326880,Kate,Boroondara,Private Room,329,0.0986,273,1.54,4.85,15.49,2
74324,Eclectic luxury living (long term stays welcome),390761,Matt,Yarra,Entire Home/Apt,186,0.4904,92,0.73,4.86,15.35,0
80986,Richmond CENTRAL PARK EDGE 1BR+WIFI,50121,The A2C Team,Yarra,Entire Home/Apt,0,1.0,80,0.47,4.43,16.64,0
86369,"Sunny 1950s Apartment, St Kilda East  Longer stays",246509,Fiona,Glen Eira,Entire Home/Apt,101,0.7233,14,0.15,5.0,15.73,0
103952,Spacious & Sunny 1BR with Pool & Tennis Court,541584,Felicity,Port Phillip,Entire Home/Apt,179,0.5096,18,0.1,4.94,15.15,0
108032,Studio apartment on Collins Street,559227,Malcolm,Melbourne,Entire Home/Apt,117,0.6795,307,1.77,4.9,15.13,2
120487,Garden Bungalow with the Possums,606393,Barbara,Kingston,Entire Home/Apt,322,0.1178,112,0.66,4.85,15.09,1
133617,Life style and more on the Beach,646383,Hannah,Port Phillip,Private Room,172,0.5288,43,0.26,4.84,15.06,0
1064493,Stylish St Kilda Studio (Brand New),2708837,Jack,Port Phillip,Entire Home/Apt,0,1.0,172,1.15,4.86,14.0,0
1077126,Private room in Melbourne Northeast,5927414,Armita,Banyule,Private Room,324,0.1123,45,0.35,4.6,13.19,1
1098759,Glenmore Homestyle Accommodation,198153828,Lucy,Whitehorse,Entire Home/Apt,319,0.126,182,1.22,4.69,7.99,1
1107707,Beaumaris House private pool & Pet friendly,5869866,Claire,Bayside,Entire Home/Apt,89,0.7562,7,0.06,4.86,13.2,0
1119442,Sophisticated Boutique Apartment,6140418,Sebastian,Yarra,Entire Home/Apt,340,0.0685,174,4.36,4.9,13.14,2
1137049,///ARCHITECTURAL HOME / BEACH /CBD / CAFE PRECINCT,2624960,Karen,Port Phillip,Entire Home/Apt,256,0.2986,417,2.9,4.84,14.02,2
1145231,Sunny spacious Northcote home.,6279514,Sian,Darebin,Entire Home/Apt,13,0.9644,7,0.05,5.0,13.12,0
1156949,"Relaxing villa, close to town.",6339747,Serena,Glen Eira,Private Room,0,1.0,33,0.23,4.88,13.11,0
1157078,"Entire 3 bedroom home in Preston, Melbourne",4222183,Jade,Darebin,Entire Home/Apt,0,1.0,19,0.52,4.89,13.57,0
161033,Healesville Yarra Valley Cottage,770883,Karen,Yarra Ranges,Entire Home/Apt,148,0.5945,343,2.01,4.8,14.97,2
